perc_pixels,cutoff_sol,carbon_strg,prop_carbon_strg,prop_carbon_strg_rounded
0.01,0.962587297,18242183311,0.011368107,0.01
0.02,0.941249251,40089111587,0.024982608,0.02
0.03,0.916371167,59719250713,0.037215656,0.04
0.04,0.89531678,76521561000,0.047686468,0.05
0.05,0.878466427,95727552422,0.059655198,0.06
0.06,0.861612618,1.14853E+11,0.071573483,0.07
0.07,0.8458094,1.33207E+11,0.083011364,0.08
0.08,0.832325637,1.51591E+11,0.094467836,0.09
0.09,0.819041908,1.69883E+11,0.105867172,0.11
0.1,0.807192683,1.87165E+11,0.116637118,0.12
0.11,0.795867085,2.06146E+11,0.128465623,0.13
0.12,0.785589933,2.23178E+11,0.139079509,0.14
0.13,0.776158512,2.40936E+11,0.150145479,0.15
0.14,0.765935481,2.59546E+11,0.161743378,0.16
0.15,0.755756557,2.77364E+11,0.172847005,0.17
0.16,0.744879544,2.95039E+11,0.183861262,0.18
0.17,0.734797299,3.12122E+11,0.194506999,0.19
0.18,0.724700511,3.29274E+11,0.205195636,0.21
0.19,0.714834929,3.48136E+11,0.216950594,0.22
0.2,0.704313099,3.66525E+11,0.228409606,0.23
0.21,0.692738295,3.84888E+11,0.239853354,0.24
0.22,0.684089601,4.02595E+11,0.250887956,0.25
0.23,0.673225522,4.20725E+11,0.262186083,0.26
0.24,0.664230585,4.39083E+11,0.273626573,0.27
0.25,0.657199383,4.56697E+11,0.284603204,0.28
0.26,0.649131298,4.7533E+11,0.296214822,0.3
0.27,0.640598238,4.92999E+11,0.307225889,0.31
0.28,0.630825639,5.1098E+11,0.318431228,0.32
0.29,0.62272644,5.29119E+11,0.3297345,0.33
0.3,0.614730537,5.47895E+11,0.341435569,0.34
0.31,0.606207788,5.65721E+11,0.352544242,0.35
0.32,0.598889768,5.82755E+11,0.363159535,0.36
0.33,0.590882063,6.00673E+11,0.374325325,0.37
0.34,0.581636548,6.19045E+11,0.385774328,0.39
0.35,0.573732495,6.37154E+11,0.397059359,0.4
0.36,0.566555977,6.55654E+11,0.408588307,0.41
0.37,0.560023844,6.73621E+11,0.419784843,0.42
0.38,0.551749647,6.90579E+11,0.430353148,0.43
0.39,0.544656277,7.08387E+11,0.441450149,0.44
0.4,0.536748171,7.25407E+11,0.452057017,0.45
0.41,0.527248204,7.4293E+11,0.462976797,0.46
0.42,0.519571006,7.61298E+11,0.47442326,0.47
0.43,0.511795163,7.79567E+11,0.485807905,0.49
0.44,0.504461348,7.9728E+11,0.496846396,0.5
0.45,0.496198714,8.14955E+11,0.507861356,0.51
0.46,0.48759985,8.32461E+11,0.518770642,0.52
0.47,0.479704142,8.50327E+11,0.529904437,0.53
0.48,0.47226876,8.675E+11,0.540605843,0.54
0.49,0.464687109,8.85102E+11,0.551575354,0.55
0.5,0.457097173,9.02388E+11,0.562347376,0.56
0.51,0.449921489,9.2028E+11,0.573497178,0.57
0.52,0.443268478,9.37666E+11,0.584331632,0.58
0.53,0.437179953,9.55103E+11,0.59519784,0.6
0.54,0.431334734,9.72386E+11,0.605968299,0.61
0.55,0.424136221,9.89331E+11,0.6165279,0.62
0.56,0.417313576,1.00649E+12,0.627222709,0.63
0.57,0.410398901,1.02338E+12,0.637745344,0.64
0.58,0.404751897,1.04094E+12,0.648691346,0.65
0.59,0.398455828,1.05788E+12,0.659249299,0.66
0.6,0.391923964,1.07548E+12,0.670214805,0.67
0.61,0.384735823,1.09209E+12,0.680563435,0.68
0.62,0.379107922,1.10829E+12,0.690660823,0.69
0.63,0.372995585,1.12488E+12,0.700998585,0.7
0.64,0.365328759,1.1415E+12,0.711359436,0.71
0.65,0.359263778,1.1572E+12,0.721139745,0.72
0.66,0.353506684,1.17275E+12,0.730833073,0.73
0.67,0.348540366,1.18586E+12,0.739000628,0.74
0.68,0.343830287,1.1977E+12,0.746377108,0.75
0.69,0.338029474,1.21017E+12,0.754152725,0.75
0.7,0.333053857,1.22392E+12,0.762716195,0.76
0.71,0.32768333,1.2371E+12,0.77092922,0.77
0.72,0.321176976,1.24987E+12,0.778891448,0.78
0.73,0.314384341,1.26215E+12,0.786545297,0.79
0.74,0.308149964,1.27545E+12,0.79483258,0.79
0.75,0.302744508,1.28988E+12,0.803821591,0.8
0.76,0.295599073,1.30383E+12,0.812516374,0.81
0.77,0.289753228,1.31902E+12,0.821982161,0.82
0.78,0.282480836,1.33397E+12,0.831298526,0.83
0.79,0.274429828,1.34811E+12,0.840108839,0.84
0.8,0.265962631,1.36203E+12,0.84878358,0.85
0.81,0.258140951,1.37694E+12,0.858076923,0.86
0.82,0.250954777,1.39077E+12,0.866696298,0.87
0.83,0.242121845,1.4037E+12,0.874750895,0.87
0.84,0.233463228,1.41797E+12,0.883646546,0.88
0.85,0.224345371,1.43099E+12,0.891759874,0.89
0.86,0.216440171,1.44473E+12,0.900324708,0.9
0.87,0.207520664,1.45829E+12,0.908774894,0.91
0.88,0.197749138,1.47295E+12,0.917905657,0.92
0.89,0.188473523,1.48633E+12,0.926245753,0.93
0.9,0.176871061,1.49966E+12,0.934554989,0.93
0.91,0.166564003,1.51214E+12,0.942331879,0.94
0.92,0.153578863,1.52429E+12,0.949904007,0.95
0.93,0.139531836,1.53788E+12,0.958370806,0.96
0.94,0.12614426,1.54951E+12,0.965617595,0.97
0.95,0.114651911,1.5618E+12,0.973280009,0.97
0.96,0.097939,1.57261E+12,0.980015222,0.98
0.97,0.081905566,1.58273E+12,0.986321882,0.99
0.98,0.061700512,1.59244E+12,0.992372445,0.99
0.99,0.034776486,1.59961E+12,0.996840929,1
1,0.000201366,1.60466E+12,0.999988705,1
